Sistema;A��o;Aventura;RPG;Simula��o;Estrat�gia;Casual;Infantil;Todos;Adulto
PC;++;+++;++;+++;+++;---;+;++;+++
G64;++;+++;++;++;+++;--;+;++;+++
TES;+;--;+;+;--;+++;+++;++;---
Master V;++;--;+;+;--;+++;++;+++;--
Gameling;+;--;++;++;---;+++;+++;++;---
Vena Gear;++;+;+;++;---;+++;++;+++;+
Vena Oasis;+++;+;+;++;---;--;+;+++;++
Super TES;++;++;++;+++;--;++;+++;++;--
Playsystem;+++;+;+++;++;--;---;+;+++;++
TES 64;++;+;--;+;--;++;+++;++;++
DreamVast;+++;--;+;+++;--;--;--;+++;+++
Playsystem 2;+++;+;+++;++;--;++;++;+++;+
mBox;+++;+;++;++;--;--;+;+++;++
Game Sphere;+;+;--;+;--;+++;++;++;+
GS;++;++;+++;++;++;+++;+++;++;+
PPS;+++;--;+++;+;+;+;+;++;+++
mBox 360;+++;++;+++;++;--;++;+;++;+++
Nuu;+;---;--;+++;--;+++;+++;+++;--
Playsystem 3;+++;++;++;+++;--;+;+;+++;++
grPhone;+;+;--;++;--;+++;++;+++;---
grPad;+;++;--;++;++;+++;++;+++;---
mPad;--;++;+;++;--;++;--;++;+
Wuu;++;--;+;+++;--;+++;++;+++;--
OYA;++;--;+;++;+;+++;+;+++;++
mBox One;+++;+;++;++;--;++;--;+++;+
Playsystem 4;+++;+;+++;++;--;++;+;+++;++
mBox Next;++;++;++;+;--;+++;++;+++;+
Playsystem 5;+++;--;++;+++;--;++;+;+++;++
